#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
xnx	烦不烦\t服不服
xnd	分布式\t封闭式\t分别是
xku	发动机\t发电机\t放大镜
xki	发达了
xkh	放得下\t发短信
xxe	分分钟\t分封制
xgi	反过来
xfn	发红包\t防化兵
xfi	肺活量\t防护林\t复活了
xfy	防火墙\t孵化器
xsf	非常好\t非常坏
xsi	放出来\t反潮流\t非常冷
xrd	费口舌\t分开说
xin	菲律宾\t复录比
xik	反垄断\t法拉第\t分量大
xix	翻了翻\t福利费\t福利房
xif	风凉话\t分类号
xiz	氟利昂\t法雷奥
xio	服了你
xih	法兰西\t分量小\t非理性
xmg	父母官
xmy	父母亲\t发明权\t房门前
xma	发明人\t复明日
xoi	负能量\t服你了\t放牛郎
xyu	番茄酱\t反潜机\t发请柬
xyi	放弃了\t飞起来\t发起了
xyw	废弃物\t富趣味
xai	否认了\t发热量
xdk	发生的
xti	烦死了\t放松了
xtd	分散式
xtv	分散在
xlv	繁体字\t发帖子
xen	纺织部\t放这吧
xei	非主流\t负债率\t附着力
xem	辅助码\t非著名
xed	反正是\t发展史
xeh	辅助性\t副主席
xsh	放长线\t防潮箱
xwk	服务端
xwy	服务器
xwa	防污染
xwl	防卫厅\t发完贴
xhn	风向标\t发行版
xhi	发现了\t放心了\t返修率
xhp	方向盘\t氟西泮
xhy	飞行器\t分析器
xhh	非线性\t方向性\t风萧萧
xjx	翻一翻\t抚养费
xja	发言人\t反应热\t抚养人
xva	负责人\t负责任
gck	刚才的
gci	搞错了\t棺材里
gcm	各层面\t干脆面
gki	搞定了
gke	够得着\t管得着
gkh	过渡性\t鬼东西
gkj	古典乐\t干瞪眼
gxi	搞反了\t鼓风炉\t国富论
gxe	股份制
ggh	高跟鞋
ggv	高个子
gfg	共和国\t观后感
gsk	观察到\t共产党\t滚床单
gsi	观察力\t滚出来\t赶潮流
gsy	滚出去\t刚出去\t赶出去
gse	过程中\t观察者\t管吃住
grd	刚开始\t改口说
gii	过来了\t孤零零\t高利率
gie	橄榄枝
gij	管理员\t鼓浪屿\t橄榄油
gmn	搞明白
gmk	国民党\t高密度\t古明地
gmz	哥们儿\t赶明儿\t改明儿
gmg	鬼门关\t跟美国
gmi	购买力\t根目录\t感冒了
gmo	干嘛呢
gml	各媒体\t灌米汤
gmd	跟没说
gyd	过去时\t高情商\t感情上
gav	过日子\t果然在
gto	告诉你
gll	共同体\t光秃秃\t甘特图
glv	狗腿子\t赶他走
gdi	过时了
gws	购物车
ghf	个性化\t关系户\t更喜欢
ghi	高效率\t公信力\t更新了
gho	高性能\t感谢你
ghy	感兴趣\t滚雪球
ghd	更像是\t刚想说\t管闲事
ghh	感谢信\t共享下
gjn	雇佣兵\t工业部\t过一遍
gjg	高压锅\t狗咬狗\t更应该
gjf	工业化
gji	供应链\t够用了
gjd	更衣室
gvi	工作量\t骨子里\t瓜子脸
gvd	工作室\t工作上\t刽子手
gve	工作者\t高增长\t工作证
fnk	恨不得\t还不到\t荷包蛋
fnf	会不会\t好不好
fni	回报率\t回不来\t花不了
fno	还不能\t很别扭\t何必呢
fnh	还不行\t后备箱\t还必须
fki	好多了\t合得来\t活到老
fkl	好多天\t核冬天
fzu	华尔街\t花儿匠\t合恩角
fzv	华尔兹\t好儿子
fga	回锅肉\t韩国人
fgl	回过头\t还给他
fgd	花果山\t回过神
ffn	还好吧\t黄褐斑\t豪华版
fff	哈哈哈\t好好好\t黑乎乎
ffi	黄昏恋\t还好了
ffl	还好听
ffd	活化石\t挥挥手\t好好说
ffw	化合物
fsi	回潮率\t很吃力\t后处理
fsp	火车票
fsy	缓冲区\t豁出去\t火出圈
fsj	还处于
frg	很可观
fro	很可能
frp	很靠谱
fif	好厉害\t很厉害\t合理化
fiu	黑龙江\t狐狸精
fii	回来了\t灰溜溜\t轰隆隆
fid	花露水\t行列式
fih	合理性
fmk	黑名单\t还没动\t缓慢的
fmf	还没好
fmu	护目镜\t蛤蟆镜
fmj	还没有\t鸿门宴\t黄梅雨
for	贺年卡\t后脑壳
foi	很努力\t会努力\t湖南路
fow	海内外\t汉诺威
fpi	很漂亮\t害怕了\t好评率
fyg	很奇怪\t好奇怪
fyh	好奇心\t很庆幸\t很清晰
fls	火腿肠\t糊涂虫
fdi	换手率\t黄鼠狼\t和事佬
fdv	红十字\t活受罪
fei	号召力
fwn	红卫兵
fwi	好无聊\t很无聊
fhg	好习惯\t虹吸管
fhf	很喜欢\t海协会\t还喜欢
fhs	候选窗\t火星车
fhr	很辛苦\t候选框
fho	和稀泥\t好想你
fhy	好心情\t幻想曲
fha	候选人\t好心人
fhd	好像是\t化学式
fhh	好消息\t坏消息\t候选项
fhj	坏心眼
fhv	黑匣子
fjg	还有个\t换一个\t好一个
fjt	好意思\t会有所
fje	换言之\t后遗症\t换一种
fjw	何意味\t还以为\t火药味
fjj	黑黝黝\t化验员
fvm	还在吗\t孩子们
fvo	还早呢
fvy	孩子气\t盒子枪
snk	差不多\t成本低
sng	吃不惯\t丑八怪\t超不过
sni	吃饱了\t差不了\t差不离
sny	出不去\t撑不起
snd	出版社\t长白山\t成本是
scd	纯粹是\t储藏室
skd	称得上\t成都市\t传达室
sff	茶话会\t臭烘烘\t超豪华
sry	喘口气\t窗口期
sii	出来了\t赤裸裸
sop	吹牛皮
spv	秤盘子
syi	出去了\t充其量\t重启了
syl	出气筒\t常青藤
san	传染病
sax	吃软饭
stm	传送门
slg	床头柜\t抽屉柜\t车同轨
sdn	炊事班
sey	沉住气\t成长期
sew	称之为\t楚庄王
swg	储物柜\t唱完歌\t宠物狗
swi	成为了\t吃完了
shn	插线板\t出血病\t畅销榜
shd	畅销书\t超现实\t出现时
she	初学者\t赤霞珠
shh	持续性\t穿小鞋\t超小型
shj	程序员\t产学研\t程序猿
shv	出现在\t朝鲜族\t趁现在
sjk	差一点\t常言道
sjg	成员国\t差一个
sjf	差异化\t产业化
sji	差远了\t扯远了\t产业链
sjm	出远门\t纯爷们
sjv	常用字\t吃柚子\t出月子
sve	创作者\t创造者
svh	创造性
ung	基本功
unf	绝不会\t金不换\t决不会
uns	讲不出
unr	几百块
uni	解不了
uno	就不能\t决不能\t绝不能
krj	都可以
uny	经不起\t记不清\t就不去
und	基本上\t绝不是
une	禁不住\t记不住\t架不住
unh	就不行\t聚丙烯
unj	就不要
ucj	仅次于\t检测仪
ukf	机顶盒\t简单化\t简单鹤
uke	景德镇\t经得住\t几点钟
uxu	解放军\t进房间
uxi	解放了\t杰弗里
ugg	九宫格\t就刚刚\t结构光
ugs	军工厂\t加工厂\t进工厂
ugy	几个钱\t机关枪
uga	几个人\t交割日
ugt	见光死\t及格赛\t进公司
ugl	结构图\t贱骨头\t就给他
uge	紧箍咒\t几个钟\t就跟着
ugh	结构性\t进攻性\t金龟婿
ugj	几个月\t节骨眼\t加工业
ufi	就好了\t进化论\t急坏了
ufd	几乎是\t交互式\t九华山
ufe	结婚证\t结婚照
ufh	就好像\t计划性\t几何学
ufj	就会有\t嫁祸于
ufv	简化字\t叫花子\t就会在
uun	精简版\t交接班\t就基本
uuk	就觉得\t渐渐的
uuf	几句话\t基金会\t交际花
uuu	歼击机\t叫叫叫
uuy	加进去\t经济区\t锦江区
uud	究竟是\t狙击手\t旧金山
uue	紧接着\t佼佼者
uuw	纪检委\t拒绝我\t救救我
uuh	经济学\t积极性
urk	寄快递
urr	据可靠
uri	加快了\t进口量\t经看了
uro	尽可能\t极可能
urd	教科书
urj	就可以
uin	俱乐部\t加勒比\t接力棒
uii	角落里\t积累率
uip	纪录片\t就离谱\t吉隆坡
uia	经理人
uie	军令状\t居留证
uoy	几年前
upg	卷铺盖
uyn	剪切板
uya	机器人
uai	加入了\t进入了
udg	几十个\t就是个
utu	计算机\t结算价
uti	就算了\t急死了
uty	计算器\t加速器
utd	就算是\t江苏省\t近似商
uln	剪贴板\t脚踏板\t就特别
udl	精神头\t嚼舌头\t就是他\t就是她
uek	就知道\t精致的
ueg	价值观\t金针菇\t九寨沟
uef	江浙沪\t镜中花
uei	竞争力\t记住了
ued	简直是\t就直说\t建筑师
uew	建筑物\t急转弯
ueh	甲状腺\t集装箱\t就这些
uej	就这样\t就职于\t肩周炎
uhy	解析器\t交响曲\t阶下囚
uvg	节奏感\t架子鼓\t就做个
uvi	就走了\t镜子里\t君子兰
uva	尽责任
rns	看不出\t看不穿\t空白处
rny	看不起\t看不清
rnl	看不透\t可不填
rnd	看不上\t可不是
rnv	哭鼻子\t扛把子\t快步走
rci	看错了\t坑惨了
rka	肯定让
rxn	开发版
rxu	咖啡机\t空房间
rgi	看过了\t考过了
rgy	开过去
rgh	客观性\t考古系
rgv	嗑瓜子
rfk	客户端\t可获得
rsi	看出来\t看穿了\t开创了
ruu	快捷键\t哭唧唧\t科技界
rir	看了看\t开了口
rii	卡路里\t空落落\t客流量
rid	昆仑山\t快乐水
rij	窟窿眼\t看了眼
rmk	孔明灯\t苦命的
rmd	开幕式\t昆明市
ron	可能被\t可能吧
rok	可能都\t跨年度\t可能对
rod	可能是\t可能使
roj	可能有\t肯尼亚
ryn	狂犬病\t哭去吧
ryr	看情况\t口腔科
ryi	看起来\t开启了
rau	苦肉计\t可溶解
rti	坑死了\t克苏鲁\t开塞露
rls	口头禅\t开天窗
rdu	跨世纪\t开始就
rde	口水战\t口水仗
ren	看着办\t看着吧
yei	驱逐令\t卡住了
rwc	开胃菜
rwi	快完了
rwh	开玩笑\t颗卫星
rhu	科学家\t科学界
rhi	可惜了\t扛下了
rht	苦行僧\t苦相思
rjs	开夜车\t可以吃
rjr	看一看\t可以看
rji	可以了\t可用来
rjd	可以说\t跨越式
rjh	看一下\t可用性\t快一些
rjv	看样子\t可以在
rvu	看自己
rvi	卡在了
rvj	看走眼\t抠字眼
iny	了不起\t理不清\t冷兵器
int	老不死\t萝卜丝
ikx	老地方\t劳动法
ikf	拉丁化\t来电话
iki	劳动力\t来到了\t聊得来
ike	劳动者
ixn	两分半
ixm	两方面\t立方米\t老父母
ixy	老父亲\t来福枪\t立法权
igx	劳改犯\t驴肝肺\t洛国富
igi	利滚利\t了过来
igy	卢沟桥\t了过去
igv	两个字\t六个字
ifi	厉害了\t老黄历\t来衡量
ifo	氯化钠\t老黄牛
iif	老龄化\t拦路虎\t联络函
iii	啦啦啦\t狼来了
iiy	浏览器\t拉力器
ioa	老年人\t辽宁人
ipn	老婆本
iyi	连起来\t了起来
itj	类似于\t硫酸盐
idv	劳什子
ilg	立体感\t龙头股
ilf	两天后
ily	愣头青\t乱弹琴\t两天前
ill	老太太\t立体图
ilw	立陶宛\t量体温
ilj	老天爷\t领头羊
ilv	烂摊子\t老头子\t撂挑子
idh	历史学\t临时性
iep	连珠炮
ihu	连续剧\t老学究\t螺旋桨
ihd	两小时\t老先生\t旅行社
ijg	另一个\t老眼光\t了一个
ijl	老一套\t老油条
ijv	老样子\t老爷子\t老油子
mnk	买不到\t忙不迭
mnx	没办法
mni	明白了\t免不了
mne	明摆着\t摸不着\t没保障
mnh	面包屑\t没保险\t没兵线
mkn	没得比\t木地板
mkk	目的地\t买得到
mkf	牡丹花\t马大哈\t忙得很
mki	麦当劳\t马德里
mkh	买东西\t目的性
mkv	慢动作\t没胆子
mxj	没反应\t眯缝眼
mgf	玫瑰花\t湄公河\t玫瑰红
mga	每个人\t某个人\t美国人
mfp	马后炮
mfe	迷魂阵
mfj	模糊音\t马虎眼\t蒙汗药
muf	每句话\t没机会
mui	没救了\t孟加拉
mue	目击者\t没记住
mrg	没看够
mig	摩洛哥\t买了个
mif	命令行\t茉莉花\t母老虎
mim	摸了摸\t没礼貌
miy	卖力气\t买路钱\t没力气
mih	昧良心\t免礼姓
mmn	没明白\t密码本
mml	摸摸头
mmd	明明是\t慢慢刷
mmv	萌妹子\t没面子\t明明在
mog	摩纳哥\t没那个
moy	模拟器
mov	满脑子\t没脑子
mpf	门牌号\t冒牌货
mpu	马屁精
myi	没钱了\t米其林\t煤气炉
myv	马前卒\t煤气灶\t目前在
max	魔然繁
maf	猛如虎
mau	魔然简\t美人计\t猛然间
mai	没人理\t没人了\t没人来
maa	毛茸茸\t毛绒绒
mae	默认值
mah	没人性\t慢热型\t明日香
mdn	没事吧\t门市部
mtn	慢三步\t没死吧
mdk	没事的
mdg	没事干\t冒失鬼\t面试官
mdu	没时间
mtr	莫斯科\t马赛克
mdi	没事了\t马上来
mdm	没什么
mtd	貌似是
mdv	美术字\t马上做
mlg	没听过\t没停过\t没通过
mfl	明后天\t猕猴桃\t棉花糖
mlf	摩托化\t满堂红\t没调好
mls	摩托车\t木糖醇\t买糖吃
mdz	没事儿\t马绍尔
mek	没找到\t明知道\t民主党
meg	没这个\t满洲国
meh	毛主席\t买这些\t瞄准线
mwf	没文化\t门外汉
mwu	没忘记
mwl	没问题\t蒙文通
mhf	没学会\t没想好
mho	每学年\t没悬念
mhy	没兴趣\t每星期\t没心情
mhj	莫须有\t没响应\t毛星云
mjx	每一份\t每一分\t免运费
mjg	每一个\t某一个\t没用过
mji	没有了\t免疫力\t沐浴露
mjp	慢一拍\t每一批\t闷油瓶
mjy	牧羊犬
mjl	每一天\t麦芽糖\t某一天
mje	每一种\t贸易战\t某一种
mjw	每一位\t某一位
mjh	每一项\t没有像
mvi	满足了\t名字里
mvv	美滋滋
ozw	你爱我
onk	弄不懂\t拿不定\t拿不动
onz	尼泊尔\t诺贝尔
onf	弄不好\t捏把汗\t那不会
ons	难不成\t南北朝\t那不成
ono	能不能\t难不难
onh	你不信\t那不行
okk	你懂的\t难度大\t难得的
okd	难道说\t那倒是\t那都是
okw	难道我\t耐低温\t你逗我
ogn	南瓜饼
ogm	你干嘛\t闹革命
oga	那个人\t你个人
ogt	能告诉
off	闹哄哄\t黏糊糊\t那还好
ofi	脑回路\t拿回来\t脑海里
ofv	女孩子\t男孩子
osp	农产品
oug	那几个\t哪几个
ouf	那句话\t那家伙\t闹饥荒
ouu	牛角尖\t你究竟
oui	凝聚力\t农家乐\t你将来
oua	娘家人
oue	南极洲\t哪几种\t那简直
ouj	诺基亚\t你就要
ord	那可是
oie	奴隶制\t奴隶主
omn	那么办\t弄明白
omg	内蒙古\t那么高\t农民工
omu	那么久\t你们家
omi	你们俩
oon	你牛逼
opw	你陪我
opj	女朋友\t男朋友
oyk	年轻的\t你确定
oyi	拿起来\t哪去了
oya	年轻人\t女强人\t那群人
oyd	年轻时
oaw	你认为\t女人味
olu	哪条街
odk	你说的
odf	那时候
oew	闹着玩\t你找我
oev	那阵子
owy	难为情\t你无情\t诺维奇
ohf	女性化\t男性化\t闹笑话
oha	那些人\t哪些人\t宁夏人
ojg	哪一个\t你应该
oju	那一句\t你已经\t农业局
oji	哪一类
ojl	那一天\t那一套\t哪一天
ojd	你也是\t那也是
oje	哪一种\t那一种
ojj	暖洋洋\t你愿意
ovf	男子汉\t你最好
ovi	脑子里\t拿走了
ovw	农作物\t你作为
png	皮包骨\t跑不过\t拼不过
pni	跑不了
pnd	配不上\t赔不是\t怕不是
pkg	平底锅\t配得感
pki	判断力\t潘多拉\t跑掉了
pkd	配得上\t偏导数
pkv	碰钉子
pgi	跑过来
pgy	跑过去
pfn	排行榜\t排好版
psi	批处理
puf	啤酒花\t跑江湖
pif	漂亮话\t破烂货\t批量化
pim	拼了命\t婆罗门\t派拉蒙
pid	泼冷水\t铺路石\t普鲁士
pmr	贫民窟
pmp	拍马屁\t拼命跑
pok	骗你的
poa	泡女人
pyi	抛弃了\t爬起来\t跑起来
ptg	怕死鬼
pdm	凭什么
plk	普通的\t骗他的
plf	普通话\t破天荒
plu	葡萄酒\t普通级\t配套件
pdi	凭实力\t排水量\t盘山路
pen	平装本\t配置包\t配置表
pwk	骗我的
php	拍胸脯\t拍相片
yzk	亲爱的\t淇澳岛
yng	气不过\t敲边鼓
ynu	前不久\t起步价\t情报局
yni	去不了\t起不来
yny	瞧不起\t去不去\t强不强
ynl	丘比特\t前半天\t千比特
ynd	且不说\t却不是\t岂不是
yki	取得了\t气动力\t强多了
ykh	确定性\t确定下
yxa	签发人
yxw	全方位\t抢饭碗
ygk	穷光蛋\t屈光度\t奇怪的
yux	强奸犯\t全家福\t穷举法
yuo	前几年\t请教您\t区间内
yua	全家人\t前几日
yud	起居室\t情景时
yri	巧克力\t区块链\t气哭了
yrh	情况下
yif	起来嗨\t秋老虎
yii	起来了
yiy	瞧了瞧
yil	前两天\t群聊天
yih	请联系\t强类型\t前列腺
yij	千里眼\t清凉油
ytn	去死吧\t去送吧
ydk	请稍等
yti	气死了\t穷死了\t前苏联
yeg	敲竹杠\t全中国
yel	穷折腾\t去找他
yed	牵着手
ywn	翘尾巴
yhi	取消了\t取下了\t全系列
yhj	倾向于\t趋向于\t缺心眼
yjt	清一色
yjl	前一天
yjw	前一晚\t窃以为\t全英文
yjv	起源自\t奇亚籽
yvk	全自动\t潜在的\t却遭到
yvi	去做了
and	若不是\t人本身
ane	忍不住\t肉搏战
acm	人聪明\t容错码
naz	不入耳
ucy	寄存器
axv	人贩子
agk	日光灯\t如果到
agl	如果他\t如果她\t软骨头
afi	如何了\t日活量
afa	任何人
auk	人家的
auy	乳胶漆\t扔进去
aix	人来疯\t如来佛\t燃料费
amn	人民币\t软面包
amk	人民党\t人们的
api	人跑了
ayi	人齐了\t肉起来
adf	热水壶
ahs	热心肠\t日系车
ahy	扔下去\t人心齐
aja	人与人\t忍一忍
avi	人走了
avo	孺子牛
tni	算不了\t随便了\t死不了
tnh	四不像\t三八线\t塞不下
tcj	三次元\t塞擦音
tkd	算得上\t苏打水\t所得税
tke	所导致
txy	伺服器\t三分球\t私房钱
txe	三分钟\t散发着
tgu	死规矩\t撒个娇
tga	三个人\t四个人
tgj	三个月\t四个月
tun	三句半\t随机本
tuk	三季度\t四季度\t松紧带
tug	三极管\t三鞠躬
tuh	三角形\t随机性
duh	时间线\t数据线\t上进心
tik	塑料袋\t撕裂的
tis	三轮车\t四轮车
dmz	什么啊
dmc	是没错\t什么词
dmk	疏密度\t什么的
dmg	神秘感\t审美观\t什么鬼\t什么梗
dmu	双面胶\t什么叫\t上面级
dma	睡美人\t神秘人\t什么人
dmd	市面上\t说明书\t说没说\t什么是\t什么事
tmh	三门峡\t丧门星
dmj	是没有\t守门员\t什么样
tou	三年级\t四年级\t死脑筋
tye	三千丈
tad	虽然是
tah	三人行
ddr	试试看\t说说看
twk	四五点\t所谓的
twd	四五十\t三位数\t散文诗
thi	私下里\t死心了\t算下来
thj	死心眼\t所吸引
tjk	所有的
tjo	所以能\t所以呢
tja	所有人\t所以然
djt	啥意思\t是一所
tje	所有制\t所有值
tjw	私以为
tvm	臊子面\t撒子嘛
lnk	听不懂\t听不到\t特别的
lns	听不出\t逃不出\t特别长
lny	听不清\t贴标签
lnl	疼不疼\t听不听\t痛不痛
lnd	特别是\t谈不上
lnh	停不下
lci	太惨了\t太菜了\t听错了
lkk	特定的\t听得懂\t太多的
lku	特等奖\t土地局
lki	太多了\t太大了\t推动力
lkh	天底下\t铁道线
lzy	土耳其\t胎儿期
lxg	托付给\t通风管
lxw	铁饭碗\t他反问
lgu	铁公鸡\t通关节
lgi	太高了\t太贵了
lgy	弹钢琴\t挺过去
lgd	听故事
lfi	太好了\t太坏了\t糖葫芦
lsi	跳出来\t提出来
luv	土家族\t套接字
lri	太快了\t拓宽了\t太困了
lrp	太可怕
lry	叹口气\t探口气\t太靠前
lil	推了推\t舔了舔\t谈了谈
lmn	挑毛病\t他们把
lmi	太慢了\t太忙了\t他们俩
lon	糖尿病\t太牛逼
loi	太难了\t太牛了\t听腻了
low	太难为
lyr	通气孔
lyi	听起来\t太强了\t钛镪钌
lyl	抬起头
law	他认为\t她认为
ltg	替死鬼\t碳酸钙
llk	妥妥的\t通通电\t甜甜的
llr	听听看\t塔塔开
lly	透透气\t甜甜圈\t通通气
lle	团团转\t太天真
ldg	图书馆\t听说过
ldi	太少了\t太帅了
ldy	调试器
leu	天主教\t太直接\t弹指间
lei	通胀率\t偷着乐\t通知栏
lee	统治者\t挑战者
lhk	剃须刀\t天晓得\t妥协的
lhi	通讯录\t太小了\t同性恋
lhy	拖下去
ljn	退一步\t掏腰包\t他一边
lji	同意了\t图一乐
ljp	拖油瓶\t头一炮
lvj	替罪羊\t投资于
dnk	说不定\t舍不得\t收不到
dns	说不出\t首班车\t上半场
dni	说白了\t受不了\t上班了
dnl	双胞胎\t说不通\t傻白甜
dnd	是不是\t时不时\t手把手
dnh	睡不醒\t双保险\t时必须
dkx	士大夫\t水电费\t史蒂夫
dkf	说得好\t说大话\t瘆得慌
dku	圣诞节\t睡大觉\t水电局
dki	收到了\t受得了\t上当了
dkv	书呆子\t设定在
dzo	十二年
dzt	十二岁\t十二三
dxe	身份证\t十分钟
dgf	说怪话\t手工活
dgi	受够了
dfx	生活费
dfi	说好了
dfy	生活区\t耍花腔
dfe	受害者\t水浒传\t耍花招
dug	世界观\t十几个
dur	数据库
dui	睡觉了
dud	实际上\t试金石\t手机上
dry	顺口气
dik	手榴弹
dii	上来了\t水灵灵\t湿漉漉
dim	耍流氓
did	试了试\t石榴石
dmf	沙漠化\t书名号\t什么话
dmi	生命力\t说明了
dmh	生命线\t石墨烯\t神秘学
dou	伤脑筋\t神农架\t霎那间
doy	上哪去
dpv	生僻字\t屎盆子\t水瓶座
dyi	失去了\t说起来
dym	沙琪玛\t双曲面
dyo	十七年\t数千年\t上千年
dyd	申请书\t手牵手\t神枪手
dax	输入法
dah	水溶性\t伤人心
ddm	是什么
dto	十三年
ddd	事实上
dln	手提包\t石头杯
dlj	晒太阳\t渗透压
ddp	少数派\t啥水平
ddy	上上签\t舒适区\t上升期
dei	睡着了
dep	少壮派
dey	水蒸气\t生殖器\t生长期
deh	实质性\t市中心
dwg	上万个
dwf	十五号\t上午好
dwu	税务局\t睡午觉\t尚雯婕
dwi	食物链\t耍无赖\t是为了
dww	爽歪歪\t水汪汪\t十五万
dhn	上下班\t双下巴\t手写板
dhg	摄像管\t鼠须管
dhy	实习期\t说下去\t市辖区
dhd	陕西省\t山西省
dhw	上下文\t双学位
dhj	商学院\t受限于\t耍心眼
djn	实验班\t试用版
djg	上一个\t是一个
djo	上一年\t十一年\t十余年
djy	试用期\t使用权
djd	实验室\t说一说\t试一试
djh	说一下\t实用性\t试一下
dvg	水族馆\t十字镐
dvo	十字弩
dvd	实在是
ezo	猪啊你
eng	只不过\t战败国
enf	准备好\t治不好\t真不会
eni	转不了\t中不溜\t准备了
ecg	这才敢
ekn	中短波\t这都被
ekf	这段话\t招待会\t真的很
eki	找到了\t战斗力\t知道了
ekd	真的是\t这倒是
exn	支付宝
exg	脂肪肝\t政府工
exh	正方形
egi	诸葛亮
ega	这个人\t整个人\t撰稿人
egv	这个字\t涨工资\t政工组
efr	真好看
eft	指挥所\t真会算
efv	正好在
esi	支持率
eul	这几天\t中间体\t只见他
eue	这几种\t中继站
eri	逐客令\t展开了
erd	这可是\t专科生
eif	展览会\t纸老虎\t质量好
eiu	重量级\t主力军
emc	这么惨\t捉迷藏\t这么菜
emk	这么的\t这么点\t这么多
emg	这么贵\t芝麻官\t这么怪
emf	这么好\t这么坏\t专门化
ems	这么差\t种马场\t贮木场\t这么长
emu	这么久\t真没劲\t芝麻酱
emr	这么快\t这么卡\t这门课
emi	注目礼\t这么懒\t这么溜
emo	这么难\t啄木鸟\t这么牛
emy	这么强\t这么巧\t这么穷
emt	这貌似\t詹姆斯
emd	这么说\t这么少\t证明书
eme	中美洲\t这么着
emh	这么想\t这么小\t这么香
emj	这么远\t这么样\t这么有
eof	智能化\t中南海
eou	滞纳金\t这你就\t智能机
eoi	正能量\t找你了
eoa	中年人\t只能让
eod	只能说\t终南山\t之能事
eoj	只能有
eyi	站起来\t正确率\t准确率
eyy	转圈圈
eyl	竹蜻蜓
eau	主人家
elf	招贴画\t这挺好
elu	状态机\t整天价\t整条街
ely	主题曲\t阵痛期
eek	真正的\t转折点\t执政党
eef	这种话\t政治化\t着重号
eer	政治课\t找找看
eev	这阵子
ewk	中纬度\t爪哇岛
ewf	执委会\t中午好
ewr	赚外快
ewa	债务人\t植物人
ehn	遮羞布\t中西部\t中小板
ehg	主心骨\t照相馆\t轴心国
ehf	这些话\t真心话
ehi	执行力\t主旋律\t执行率
eha	这些人\t知心人\t执行人
ehd	中学生\t直辖市\t这些是
ehj	只需要\t只限于\t中西医
ehv	这下子\t追星族\t直性子
ejk	这样的\t中药店\t这一点
ejg	找一个\t正义感\t这有个
ejf	职业化\t专业户\t这一回
eju	转眼间\t照妖镜\t这样就
ejr	专业课\t这一块\t这样看
eji	注意力\t这样了\t这一类
ejo	这一年
ejt	重元素\t这也算\t这意思
ejd	主要是\t这也是\t占优势
eje	志愿者\t主义者\t朱元璋
ejw	正因为\t中英文\t只因为
ejh	重要性\t睁眼瞎\t这也行
ejj	着眼于\t占有欲
evy	著作权\t重灾区
wnf	我不会\t五笔画\t网不好
wni	微波炉\t忘不了\t玩不来
wnd	未必是\t五步蛇\t我不是\t无不是
wnh	我不信\t五边形
wnj	我不用
wnv	歪脖子
wkn	五点半\t温度表
wkk	无底洞\t稳定的
wki	无敌了\t完蛋了\t我懂了
wkm	伪代码\t五斗米
wko	我带你\t玩电脑
wkl	我的天\t问答题
wxe	五分钟\t五分制\t为防止
wgi	玩够了\t问过了\t万公里
wgo	亡国奴\t瓦格纳\t我给你
wga	外国人\t五个人
wfa	外行人\t五花肉\t文化人
wfl	万花筒\t我和他
wuu	文件夹\t挖掘机
wui	忘记了
wri	乌克兰\t我看了
wim	无理码\t往里面
wil	无厘头\t玩两天
wiw	物联网\t问了问\t五里雾
wiv	无论在
wmk	我们的
wmu	我们家\t外卖架\t我没进
wmm	雾蒙蒙\t未命名\t我妈妈
wmo	我们能
wmt	我貌似
wmd	我没事\t无名氏\t我们是
wme	无名指\t五秒钟
wmv	我们在
wox	窝囊废\t往南方
wou	五年级\t忘年交\t万能键
woi	万年历\t玩腻了\t维尼纶
wyu	挖墙脚\t无穷尽
waw	我认为\t误认为
wdm	为什么\t乌纱帽
wdd	我是谁
wtw	无所谓\t萎缩纹
wlm	维他命\t我他妈\t为他们
wld	问题是\t五台山\t委托书
wdf	晚上好
wdt	维生素
weu	无止境\t王昭君
wel	捂着头
wee	我找找\t文绉绉\t无症状
wwr	玩玩看
wha	外星人\t外乡人\t崴星人
wjn	万用表\t晚一步\t我也不
wjf	委员会
wju	无意间\t望远镜\t违约金\t我已经
wjd	我也是\t无疑是\t无意识
wjw	文言文\t误以为\t玩一玩
wjh	问一下\t玩游戏\t闻一下
wjv	乌鸦嘴\t我也在
wvi	屋子里\t我做了
hnk	想不到
hnf	学不会\t修不好\t细胞核
hnu	相比较\t香槟酒
hnr	星巴克\t想不开
hni	下班了\t下不来\t小白脸
hny	想不起\t新标签\t相比起
hnd	下半身\t小白鼠
hnh	想不想\t行不行\t信不信
hcl	西餐厅
hkn	修订版\t现代版
hki	想多了\t想到了\t学到了
hko	想当年\t许多年
hkl	心电图\t行得通
hkv	小动作\t小肚子
hxk	小幅度\t消防队\t先锋队
hxi	西番莲\t笑翻了
hgg	小哥哥\t膝盖骨\t修改稿
hgi	习惯了\t醒过来
hgm	想过没
hgo	小姑娘\t想跟你\t新概念
hgd	习惯上\t性格上\t小故事
hfn	小伙伴\t小汇报\t小黑板
hfz	小孩儿\t歇会儿
hfi	学会了\t想好了\t西葫芦
hfy	血汗钱\t下回去
hfd	小红书\t西红柿\t新华社
hfj	歇后语\t小黄鱼\t夏侯渊
hfv	小孩子\t小伙子\t熊孩子
hun	性价比\t写剧本
huu	玄简君\t小姐姐\t洗洁精
huh	戏剧性\t先进性\t下决心
hrr	先看看
hri	辛苦了\t下课铃
hik	性冷淡\t巡逻队
hif	心里话\t小狼毫
