#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
wa	微软\t围绕\t污染
wd	为啥\t外甥\t文殊
wl	问题\t舞台\t外套
we	位置\t为止\t未知
ww	呜呜\t微微\t娃娃\t喔喔
wh	微信\t微笑\t微小
wj	唯一\t我也\t外语
hz	西安\t相爱\t悬案\t邪恶\t限额\t险恶\t西欧\t小欧\t信鸥
hn	想必\t性别\t新版
hx	想法\t相反\t消费
hg	修改\t习惯\t性格
hf	喜欢\t幸好\t学会
hu	新建\t新疆\t胸襟
hr	辛苦\t幸亏\t笑哭
hi	下来\t序列\t旋律
hl	系统\t夏天\t协调
he	性质\t旋转\t学者
hv	现在\t选择\t下载
ju	已经\t意见\t眼睛
jc	因此\t一次\t洋葱
jk	一定\t有点\t运动
jx	一份\t一分\t衣服
jg	一个\t应该\t缘故
ji	以来\t原来\t有了
jm	要么\t页面\t郁闷
jy	以前\t与其\t尤其
je	一直\t一种\t一致\t严重
jw	因为\t以为\t业务
jh	一下\t邮箱\t一些
vc	自从\t再次\t总裁
vk	自动\t自带\t做到
vm	怎么\t在吗\t责骂
vo	怎能\t在哪\t早年
vy	增强\t暂且\t足球
vl	昨天\t总统\t字体
vw	作为\t座位\t最为
vh	在线\t咨询\t最新
vj	怎样\t作用\t左右
zz	挨饿\t埃尔\t恩爱\t儿啊\t偶尔\t矮矮\t暗暗
zg	爱国\t阿哥\t按个\t昂贵\t儿歌\t恶搞\t恩公
fg	很高\t换个
zm	暧昧\t按摩\t傲慢\t噩梦\t峨眉\t耳目
za	爱人\t黯然\t恩人\t二人\t偶然
nz	不饿\t匾额\t报恩\t办案\t悲哀\t备案\t北欧
nt	比赛\t不算
nh	必须\t不想\t表现
nj	不要\t不用\t表演
nv	并在\t不在\t不再
cn	从不\t惨败\t苍白
cr	参考\t仓库\t词库
ci	从来\t材料\t测量
cp	测评\t脆皮\t藏品
kn	代表\t对比\t短板
ki	到了\t多了\t地理
oz	嗯啊\t哪啊\t哪儿\t鸟儿\t男儿
xn	方便\t发布\t分别
gn	改变\t根本\t更不
gp	股票\t公平\t攻破
fn	回报\t湖北\t红包
fp	好评\t和平\t害怕
sn	成本\t初步\t常备
sp	产品\t川普\t长篇
uc	精彩\t聚餐\t就此
ut	就算\t计算\t角色
ul	今天\t交通\t家庭
uw	今晚\t极为\t键位
rn	恐怖\t空白\t快报
rp	靠谱\t恐怕\t卡片
mi	美丽\t魅力\t命令
my	目前\t明确\t母亲
mh	明显\t某些\t描写
oj	那样\t你也\t纽约
pi	评论\t频率\t漂亮
pd	拍摄\t配上\t排水
ph	培训\t排序\t评选
pj	朋友\t拼音\t攀岩
yc	其次\t奇才
ys	全程\t清楚\t切除\t翘楚
yk	确定\t缺点\t前端
yw	千万\t切勿\t青蛙
an	日本\t若不\t热播
ar	人口\t认可\t仍可
ap	人品\t肉片\t任凭
tn	随便\t散布\t送别
tr	思考\t松开\t散开
ti	算了\t森林\t塑料
tm	扫描
tp	碎片\t索赔\t赛跑
tl	三天\t酸痛\t洒脱
ln	特别\t淘宝\t同步
li	讨论\t铁路\t调料
lh	同学\t提醒\t退休
dn	识别\t设备\t上班
dp	视频\t水平\t刷屏
dt	深色
en	准备\t直播\t装备
ep	照片\t追捧\t帐篷
wr	胃口\t外壳\t唯恐
wi	为了\t网络\t无论
wt	网速\t哇塞
wv	文字\t王子\t外在
hc	下次\t瑕疵\t相册
hk	行动\t现代\t相当
hw	希望\t新闻\t下午
hj	需要\t小艺\t信用
jo	云南\t越南\t也难
jp	影片\t用品\t一片
vn	嘴巴\t左边\t走吧
vr	最快\t走开\t宰客
vi	资料\t做了\t走了
vp	作品\t早盘\t赠品
fa	黑人\t环绕\t坏人
ft	还算\t黑色\t划算
fv	好在\t火灾\t汇总
zs	熬成\t哀愁\t安插\t而成\t恩仇
zo	按钮\t安宁\t儿女\t恩呢
nf	不会\t疤痕\t崩坏
ng	不管\t报告\t不够
ns	变成\t播出\t奔驰
nu	比较\t毕竟\t并将
nr	包括\t本科\t并可
no	不能\t保暖\t别扭
nc	保存\t白菜\t并存
nx	并非\t比方\t本分
ni	本来\t比例\t别离
nm	编码\t别忙\t部门
cc	从此\t此次\t层次
cg	错过\t采购\t餐馆
cf	才会\t策划\t才华
cs	存储\t财产\t此处
cd	测试\t从事\t促使
ce	财政\t从中\t参照
cu	曾经\t促进\t刺激
ct	厕所\t彩色\t沧桑
cz	刺耳\t侧耳\t策尔\t惨案\t错爱\t草案
cx	存放\t此番\t册封
ca	曾任\t残忍\t存入
kz	答案\t档案\t对岸\t第二\t大额\t定额\t对偶\t斗殴
ks	调查\t电池\t单纯
ky	定期\t当前\t短期
ka	当然\t等人\t多人
kt	打算\t屌丝\t堵塞
kw	单位\t地位\t到位
kj	电影\t导演\t大于
kc	多次\t对此\t代词
kg	大概\t代购\t都给
kd	但是\t都是\t倒是
kf	电话\t带回\t多好
ku	动机\t代驾\t跌价
kh	东西\t大小\t短线
kp	点评\t灯泡\t短篇
ke	地址\t对账\t跌至
kv	都在\t动作\t短暂\t单子
kr	对抗\t点开\t断开
km	都没\t店面\t对面
of	嗯哼\t你好\t女孩\t内涵
xx	发放\t纷纷\t反腐
xg	风格\t分割\t法规
xf	发货\t返回\t复核
xu	佛教\t发觉\t否决
xv	否则\t放在\t发作
xd	防守\t佛山\t费时
gi	过来\t给了\t咖喱
ge	广州\t改正\t过着
gz	港澳\t高傲\t公安\t感恩\t高额\t宫娥
gk	搞定\t挂断\t跟单
gg	刚刚\t各个\t改革
gr	高考\t观看\t滚开
ga	果然\t个人\t给人
gv	跟踪\t挂在\t鸽子
gx	股份\t广泛\t跟风
gf	更好\t刚好\t光滑
gt	跟随\t光速\t该死
gw	各位\t官网\t岗位
gd	跟上\t光说\t故事
gj	关于\t过于\t根源
fk	很多\t厚道\t黑点
fx	恢复\t哈佛\t后方
ff	很好\t哈哈\t嘿嘿
fi	回来\t后来\t换了
fz	黑暗\t好啊\t海岸\t好饿\t花儿\t厚恩
fd	何时\t还是\t很少
fj	还有\t还要\t好友
fu	很久\t海军\t汉奸
fe	或者\t活着\t很重
fr	很快\t昏聩\t好看
fw	华为\t货物\t很晚
sz	宠爱\t尘埃\t查案\t超额\t嫦娥\t丑恶
sg	成功\t常规\t穿过
sf	窗户\t插画\t车祸
ss	超出\t拆除\t传出
si	出来\t处理\t车辆
se	查找\t垂直\t车展
sa	承认\t超人\t传染
sx	除非\t拆分\t长发
st	场所\t传送\t重塑
su	持久\t陈旧\t车间
sd	传说\t充实\t纯属
sr	出口\t重开\t抽空
uh	就像\t进行\t江西
up	键盘\t精品\t奖品
uj	精英\t迥异\t建议
us	经常\t奖惩\t检察
uo	江南\t均能\t今年
uy	进去\t将其\t借钱
ua	迥然\t进入\t今日
rk	肯定\t看到\t宽带
rx	开发\t客服\t咖啡
rf	看好\t口号\t恐慌
rt	快速\t亏损\t看似
rz	可爱\t口岸\t酷爱\t烤鹅
rg	考古\t快感\t跨过
rr	看看\t开口\t慷慨
ra	客人\t困扰\t宽容
re	看着\t扩展\t夸张
rw	口味\t考完\t矿物
rv	开在\t快走\t看在
ri	快了\t哭了\t可怜
ru	空间\t框架\t快捷
rd	扣税\t快说\t阔少
rc	空仓
ik	拉倒\t劳动\t流动
if	灵活\t来回\t拉黑
im	里面\t乱码\t喇嘛
ip	楼盘\t两瓶\t拉票
iy	力气\t录取\t乐趣
ia	列入\t流入\t懒人
it	拉萨\t勒索\t朗诵
ie	两张\t留着\t拉着
iw	另外\t辣味\t来往
ih	练习\t类型\t楼下
ij	留言\t乐园\t洛阳
