#星辰双拼专用成语简码（由 chengyu.txt 按星辰声母键重映射）
zdyt	阿时趋俗
zdyw	暗室求物\t傲世轻物\t敖世轻物
zdyh	傲视群雄\t暗室欺心
ztas	哀思如潮
zdas	安适如常
zdtf	挨山塞海
zddm	昂首伸眉
fddm	海誓山盟
zdth	暗室私心
ztlo	阿斯塔纳
zdly	唉声叹气\t哀声叹气\t嗳声叹气
zdlw	昂首天外
zdlh	昂首挺胸
fdlh	韩寿偷香
zdwi	安身为乐\t暗室屋漏
zdwt	爱生恶死
zdwl	昂首望天
zdes	安身之处
zdek	安身之地
zdei	安史之乱\t耳食之论
zdet	安身之所
zlzo	傲头傲脑
zlnp	凹凸不平
zlke	鳌头独占
zluk	哀天叫地
zlrn	昂头阔步
zlry	暗通款曲
zlij	安土乐业
zltu	按图索骥\t按图索骏
zllw	昂头天外
zllh	昂头挺胸
zley	安土重迁
zlju	哀痛欲绝
zlje	凹凸有致
zleu	安土重旧\t安土重居
zezw	安枕而卧
zexx	安知非福
zexf	安知非祸
zemi	安装目录
zemt	暗中摸索
zeat	安之若素
zewj	安枕无忧\t尔诈我虞
zwzw	安慰安慰
zwuw	爱屋及乌
zwik	案无留牍
zwla	暗无天日
zwhj	安危相易
zwjg	安危与共
zhnh	爱信不信
zhcv	暗箱操作
zhke	安心定志
zhxi	熬心费力
zhxp	按需分配
zhui	爱新觉罗
zhuh	暗下决心
zhid	傲雪凌霜
zhij	安心乐意\t安心乐业\t安心落意\t二心两意
zhmd	傲贤慢士
zhyd	傲雪欺霜
zhtf	昂霄耸壑
zhdj	暗香疏影
zhwo	安享晚年
zhjm	爱惜羽毛
zhvk	安闲自得\t遨翔自得
zhvj	按行自抑
zhvv	安闲自在
zjxf	熬油费火
zjgt	安于故俗
zjur	聱牙戟口
zjuy	聱牙佶屈\t聱牙诘曲\t聱牙诘屈
zjpd	安于盘石
zjtl	爱因斯坦
zjee	安营扎寨
zjhu	盎盂相击\t恶语相加
zjhy	盎盂相敲
fjhy	好言相劝
zjhe	安于现状\t安营下寨
zjji	奥援有灵\t鳄鱼眼泪
zjjj	安于一隅
zvzd	碍足碍手
zvkn	安坐待毙
zvxm	爱憎分明
zvgs	矮子观场
zeuy	鳌掷鲸呿
zeul	鳌掷鲸吞
zvrh	矮子看戏
zvpc	腌臜泼才
zvyh	暗自庆幸
zeam	安之若命
zvvk	爱咋咋地
zeei	安宅正路
nzsi	不按常理
nzzi	北爱尔兰
nzfh	不安好心
nzyd	不安其室
nzjd	不安于室
nzjw	不安于位
nnnr	不卑不亢
nnny	百病不侵
nnnj	褒贬不一
nnsd	百病缠身
nncd	百弊丛生
nnsj	百步穿杨
nnse	蚌病成珠
nnkk	斑斑点点
nnkg	步步登高
nnku	并不多见
nnki	不必多礼
nnko	百般刁难
nnkt	巴巴多斯
nnkl	包办代替
nnke	不必当真
nnkj	逼不得已
nnxs	百般奉承
nnxd	报本反始
nnxw	百般抚慰
nnxj	不避斧钺
nngf	八百孤寒
nngd	步步高升\t报冰公事
nnff	比比划划
nnfj	包办婚姻
nnun	步步紧逼
nnuu	白白净净\t巴巴急急\t巴巴劫劫\t巴巴结结
nnui	变本加厉
nnud	比比皆是\t半壁江山
nnue	标本兼治
nnuh	步步惊心
nnry	必不可缺
nnrd	必不可少
nnix	白白浪费
nnif	步步莲花
nnii	冰冰凉凉\t斑驳陆离
nnij	半部论语
nnmf	笔饱墨酣
nnmm	爸爸妈妈
nnmt	抱布贸丝
nnon	必不挠北
nnox	别不耐烦
nnoo	白白嫩嫩
nnpp	白白胖胖
nnyg	彪炳千古
nnyi	跛鳖千里
nnym	背本趋末
nnyw	不变其文
nnyj	白璧青蝇
nnai	把臂入林
nnaw	并不认为
nnaj	并不容易
nndc	彪炳史册
nndu	勃勃生机
nndi	步步生莲
nndm	帮不上忙\t不辨菽麦
nndd	并不是说
nndt	布帛菽粟
nnth	白璧三献
nntj	拔本塞源\t百不随一
nndj	百不失一
nnll	蹦蹦跳跳
nnek	并不知道
nneu	八拜之交
nnem	百般折磨
nnew	不辨真伪
nnej	不白之冤
nnws	卑鄙无耻\t卑鄙龌龊
nnwo	被逼无奈
nnwy	并不完全\t布被瓦器
nnww	病病歪歪
nnwh	白璧微瑕\t白璧无瑕
nnwj	步步为营
nnha	兵不血刃
nnhj	并不需要
nnjc	百不一存
nnjk	并不一定
nnjx	饱饱眼福
nnju	兵不由将
nnji	彬彬有礼
nnje	兵不厌诈
nnjw	并不意外
nnjh	不必言谢
nnvo	百般阻挠
nnvd	悲不自胜
nned	秉笔直书
nnvj	不必在意
nnee	不拔之志\t白白朱朱
nsnc	不瞅不睬
nsnk	把持不定
nsnx	不茶不饭
nsnu	罢黜百家\t匕鬯不惊
nsni	不痴不聋
nsno	不吵不闹\t半筹不纳
nsnj	百吃不厌
nsne	把持不住
nscf	彼倡此和
ncsy	拔萃出群
nssl	悲愁垂涕
nsky	必成大器
nskd	搬唇递舌
nczn	不辞而别
ncxj	不测风云
nsxj	不成方圆
nsgf	百川归海
ncgm	本草纲目
nsgl	百尺竿头
nsfx	不差毫发
nsfi	不差毫厘
ncfh	包藏祸心
ncfj	白草黄云
ncuk	不存芥蒂
nsux	剥床及肤
nsur	备尝艰苦
nsuj	不成敬意\t背城借一
nsue	别出机杼
ncra	病从口入
ncir	不辞劳苦
nsii	八窗玲珑
nsim	弊车羸马
nsid	不差累黍
ncmn	百辞莫辩
nsmu	鞭长莫及
nsmm	不揣冒昧
nsym	白齿青眉
ncyd	便辞巧说
nsyw	不成其为
nsyj	薄唇轻言
nsye	必承其重
nsti	不出所料
nctm	蔽聪塞明
ncdy	抱残守缺
nsdy	悲春伤秋
nstw	不成三瓦
nsdh	不差上下
nsde	抱诚守真
nsll	不成体统
nslj	不啻天渊
ncwz	辩才无碍
ncwo	博茨瓦纳
nswl	不成问题
nshc	别出心裁
nshf	报仇雪恨
nshr	备尝辛苦
nchd	拨草寻蛇
nshw	不耻下问
ncjk	饱餐一顿
nsja	不齿于人
nsjl	抱成一团
nsjw	不出意外
nsje	背城一战
ncen	卑辞重币
nces	博采众长
nsvg	卑谄足恭
nsvf	不耻最后
nsef	兵车之会
nsem	不传之秘
ncey	不次之迁
nsel	不逞之徒
nseh	不臣之心
nkzo	不得安宁
nknx	不得不服
nkni	宝刀不老
nkny	百毒不侵
nknh	不大不小
nknj	百读不厌
nksh	拔丁抽楔
nkku	百端待举
nkkj	不登大雅
nkzs	背道而驰
nkzu	倍道而进
nkzy	拔地而起
nkze	不得而知
nkxa	并蒂芙蓉
nkgr	百代过客
nkft	不得好死
nkfh	霸道横行
nkfv	白底黑字
nkug	兵多将广
